,Model,RMSE,MAPE,AIC,BIC,LL,DIC
1,Simple LM-Batsmen: With Intercept,0.523947963,2.610420541,533.6099297,606.5268082,-247.8049649,NA
2,Restricted Simple LM-Batsmen,0.520604851,2.853244679,482.7152164,521.0925209,-231.3576082,NA
3,LMM-Bat: RE Name,0.417456969,2.133655002,431.3061268,515.7361966,-193.6530634,NA
4,Restricted LMM-Bat: RE Name,0.412898737,2.261719358,422.680669,464.895704,-200.3403345,NA
5,Restricted LMM-Bat: RE Season_num Name,0.352852065,2.234404695,393.7938023,443.6842981,-183.8969011,NA
6,Restricted LMM-Bat: RE Overseas_player Name,0.412125823,2.241152287,426.5711976,476.4616934,-200.2855988,NA
7,Restricted LMM-Bat: RE Star_player Name,0.404481449,2.127055054,404.4070461,454.2975419,-189.2035231,NA
8,Restricted LMM-Bat: RE Active_T20I Name,0.396185677,2.254516817,406.7185922,456.609088,-190.3592961,NA
9,Restricted LMM-Bat: RE Cum_LY_HardHitter Name,0.416528607,2.286962328,424.2718902,474.162386,-199.1359451,NA
10,Restricted LMM-Bat: RE Cum_LY_46_scored Name,0.412549956,2.254476819,422.8239406,472.7144364,-198.4119703,NA
11,Restricted LMM-Bat: RE Cum_IPL_bat_DM_Bat_I Name,0.375520279,2.163236968,405.0964231,454.9869189,-189.5482115,NA
12,Restricted LMM-Bat: RE Cum_IPL_bat_DM_50plus_scored Name,0.402977295,2.314262432,392.3596603,442.2501561,-183.1798302,NA
13,Restricted LMM-Bat: RE Star_player + Cum_IPL_bat_DM_Bat_I Name,0.362884642,2.064018168,403.5316521,464.9353392,-185.765826,NA
14,Restricted LMM-Bat: RE Star_player + Cum_IPL_bat_DM_50plus_scored Name,0.407007762,2.242311755,400.3342201,461.7379072,-184.16711,NA
16,GLMM-Bat: Gamma Family: RE Name,4.366449229,52.29516691,201.2683913,285.6984611,-78.63419565,NA
15,GLMM-Bat: Gaussian Family: RE Name,0.415461844,2.137298944,516.6229714,601.0530413,-236.3114857,NA
17,Restricted GLMM-Bat: Gaussian Family: RE Name,0.41165458,2.262816732,463.3375707,505.5526056,-220.6687853,NA
18,Restricted GLMM-Bat: Gaussian Family: RE Season_num + Name,0.353082281,2.235812296,434.2259644,484.1164602,-204.1129822,NA
19,Restricted GLMM-Bat: Gaussian Family: RE Overseas_player + Name,0.410896797,2.243349437,467.2412765,517.1317723,-220.6206382,NA
110,Restricted GLMM-Bat: Gaussian Family: RE Star_player + Name,0.404117004,2.125062368,445.8913422,495.781838,-209.9456711,NA
111,Restricted GLMM-Bat: Gaussian Family: RE Active_T20I + Name,0.394785823,2.2515247,447.801591,497.6920868,-210.9007955,NA
112,Restricted GLMM-Bat: Gaussian Family: RE Cum_LY_HardHitter + Name,0.415370353,2.283985001,465.0036486,514.8941444,-219.5018243,NA
113,Restricted GLMM-Bat: Gaussian Family: RE Cum_LY_46_scored + Name,0.411492129,2.254338403,463.6899985,513.5804943,-218.8449993,NA
114,Restricted GLMM-Bat: Gaussian Family: RE Cum_IPL_bat_DM_Bat_I + Name,0.374912275,2.163208231,446.7059938,496.5964896,-210.3529969,NA
115,Restricted GLMM-Bat: Gaussian Family: RE Cum_IPL_bat_DM_50plus_scored + Name,0.402447731,2.312720038,434.0431416,483.9336374,-204.0215708,NA
116,Restricted GLMM-Bat: Gaussian Family: RE Star_player + Cum_IPL_bat_DM_Bat_I  + Name,0.357104791,2.059921427,444.8389348,506.242622,-206.4194674,NA
117,MCMC GLMM-Bat: RE Name,0.490711433,1.312278825,NA,NA,NA,
118,Restricted MCMC GLMM-Bat: RE Name,0.695121534,1.4200551,NA,NA,NA,211.7206
119,MCMC GLMM-Bat Unspecified prior: RE Name,0.508074332,1.063301842,NA,NA,NA,205.1014
120,Restricted MCMC GLMM-Bat Unspecified prior: RE Name,0.50108606,1.163215005,NA,NA,NA,201.7492
121,MCMC GLMM-Bat Unspecified prior: RE Season_num + Name,1.069272701,3.168852177,NA,NA,NA,196.9574
122,MCMC GLMM-Bat Unspecified prior: RE Season_num,11.80725487,19.51665073,NA,NA,NA,200.5398
123,MCMC GLMM-Bat Unspecified prior: RE Cum_LY_HardHitter,0.505171224,1.37247913,NA,NA,NA,212.8459
124,MCMC GLMM-Bat Unspecified prior: RE Cum_LY_HardHitter|Name,0.481832514,1.356590127,NA,NA,NA,215.8146
125,MCMC GLMM-Bat Unspecified prior: RE Star_player|Name,0.54230654,1.631890101,NA,NA,NA,199.5606
126,MCMC GLMM-Bat Unspecified prior: RE Overseas_player|Name,0.487231049,1.319688785,NA,NA,NA,213.1959
127,MCMC GLMM-Bat Unspecified prior: RE Cum_IPL_bat_DM_Bat_I|Name,0.483356955,1.301713522,NA,NA,NA,219.3034
128,MCMC GLMM-Bat Unspecified prior: RE Star_player|Name,0.479409033,1.516717384,NA,NA,NA,202.7952
129,MCMC GLMM-Bat Unspecified prior: RE Cum_IPL_bat_DM_Bat_I|Name,0.468899481,1.379968964,NA,NA,NA,206.8501
