"","Model","RMSE","MAPE","AIC","BIC","LL"
"1","Simple LM-Bowlers: With Intercept",0.349800997439416,2.68971115550335,170.150104778148,244.403680603358,-66.0750523890741
"2","Simple LM-Bowlers: Without Intercept",0.401084509865633,2.84593311776757,290.307646780641,360.653139667682,-127.15382339032
"3","Restricted Simple LM-Bowlers",0.354885815059063,2.73009988335134,154.227963579151,181.584544146333,-70.1139817895753
"4","Simple GLM-Bowlers",0.354885815059063,2.73009988335134,154.227963579151,181.584544146333,-70.1139817895753
"5","Simple GLM-Bowlers:Gamma family",3.05296378088188,40.9651846167333,-105.643916282476,-78.287335715294,59.8219581412382
"6","Simple GLM-Bowlers:Inverse Gaussian family",11.3503632367542,148.765860347144,16.1239740044352,43.4805545716178,-1.06198700221762
"7","Simple GLM-Bowlers:Gaussian family",0.354885815059063,2.73009988335134,154.227963579151,181.584544146333,-70.1139817895753
"8","Simple GLM-Bowlers:Gaussian family log link",1.38686077618751,14.7965086265852,161.418091057073,188.774671624256,-73.7090455285366
"9","LMM-Bowl: RE Name",0.311628244383587,1.83137187607378,127.292791106537,209.362532808084,-42.6463955532684
"10","Restricted LMM-Bowl: RE Name",0.310305292996727,1.89672211389278,111.653057778849,142.9177212842,-47.8265288894245
"11","Restricted LMM-Bowl: RE Season_num Name",0.340786080248013,1.91017766276416,80.3805002172606,119.46132959895,-30.1902501086303
"12","Restricted LMM-Bowl: RE Star_player Name",0.304605957996674,1.82594094619243,99.444299815136,138.525129196825,-39.722149907568
"13","Restricted LMM-Bowl: RE Active_T20I Name",0.311433782773473,1.78577351237455,90.5589379398253,129.639767321515,-35.2794689699126
"14","Restricted LMM-Bowl: RE Cum_LY_Bowl_I Name",0.305835873400414,1.71262982027522,97.0101547423002,136.09098412399,-38.5050773711501
"15","Restricted LMM-Bowl: RE Cum_IPL_bowl_DM_Bowl_I Name",0.298812431695478,1.85836242309353,111.500010143678,150.580839525368,-45.7500050718392
"16","GLMM-Bowl: Gaussian Family: RE Name",0.311264756290374,1.82377510285226,230.391015122277,312.460756823825,-94.1955075611387
"17","Restricted GLMM-Bowl: Gaussian Family: RE Name",0.310034402884981,1.89330324915239,146.709526084744,177.974189590095,-65.3547630423719
"18","Restricted GLMM-Bowl: Gaussian Family: RE Season_num  + Name",0.341336862498367,1.90814598543722,115.029824537828,154.110653919517,-47.5149122689141
"19","Restricted GLMM-Bowl: Gaussian Family: RE Star_player  + Name",0.304484738403257,1.82380784887202,134.95493272551,174.035762107199,-57.477466362755
"20","Restricted GLMM-Bowl: Gaussian Family: RE Active_T20I  + Name",0.310986217471808,1.77815457530005,125.836007504301,164.91683688599,-52.9180037521505
"21","Restricted GLMM-Bowl: Gaussian Family: RE Cum_IPL_bowl_DM_Bowl_I  + Name",0.298735163267174,1.85078490208995,145.944954679182,185.025784060871,-62.9724773395911
"22","Restricted GLMM-Bowl: Gaussian Family: RE Cum_LY_Bowl_I  + Name",0.305333781408834,1.70242847763979,132.36474883403,171.445578215719,-56.182374417015
"23","MCMC GLMM-Bowl no prior: RE Name",0.380445212037539,1.71986171043845,NA,NA,NA
"24","MCMC GLMM-Bowl with prior: RE Name",0.505450487732763,2.23840194518938,NA,NA,NA
"25","Restricted MCMC GLMM-Bowl: RE Name",0.54837799400182,2.26690247781663,NA,NA,NA
"26","MCMC GLMM-Bowl Unspecified prior: RE Season_num|Name",0.45565728814185,2.66492832366082,NA,NA,NA
"27","MCMC GLMM-Bowl Unspecified prior: RE Overseas_player|Name",0.423083250125798,1.830067808831,NA,NA,NA
"28","MCMC GLMM-Bowl Unspecified prior: RE Star_player|Name",0.467086366881824,2.17960923231985,NA,NA,NA
"29","MCMC GLMM-Bowl Unspecified prior: RE Active_T20I|Name",1.28999423754334,3.62661259863357,NA,NA,NA
"30","MCMC GLMM-Bowl Unspecified prior: RE Cum_LY_Bowl_I|Name",0.510171736069155,2.71669173594727,NA,NA,NA
"31","MCMC GLMM-Bowl Unspecified prior: RE Cum_IPL_bowl_DM_Bowl_I|Name",0.498104909928241,2.5302224304134,NA,NA,NA
"32","MCMC GLMM-Bowl Unspecified prior: RE Cum_IPL_bowl_DM_Bowl_I",0.405434302767903,2.31869189904317,NA,NA,NA
"33","MCMC GLMM-Bowl Unspecified prior: RE Cum_LY_Bowl_I",0.454487343657184,2.59398355633468,NA,NA,NA
"34","MCMC GLMM-Bowl with prior Gaussian Family: RE Name",0.339829228786738,1.99284022350504,NA,NA,NA
"35","MCMC GLMM-Bowl with prior exponential Family: RE Name",0.647573684760266,2.40603100137619,NA,NA,NA
