,Model,RMSE,MAPE,AIC,BIC,LL,DIC
1,Simple LM-Bowlers: With Intercept,0.349800997,2.689711156,170.1501048,244.4036806,-66.07505239,
2,Simple LM-Bowlers: Without Intercept,0.40108451,2.845933118,290.3076468,360.6531397,-127.1538234,
3,Restricted Simple LM-Bowlers,0.354885815,2.730099883,154.2279636,181.5845441,-70.11398179,
4,Simple GLM-Bowlers,0.354885815,2.730099883,154.2279636,181.5845441,-70.11398179,
5,Simple GLM-Bowlers:Gamma family,3.052963781,40.96518462,-105.6439163,-78.28733572,59.82195814,
6,Simple GLM-Bowlers:Inverse Gaussian family,11.35036324,148.7658603,16.123974,43.48055457,-1.061987002,
7,Simple GLM-Bowlers:Gaussian family,0.354885815,2.730099883,154.2279636,181.5845441,-70.11398179,
8,Simple GLM-Bowlers:Gaussian family log link,1.386860776,14.79650863,161.4180911,188.7746716,-73.70904553,
9,LMM-Bowl: RE Name,0.311628244,1.831371876,127.2927911,209.3625328,-42.64639555,
10,Restricted LMM-Bowl: RE Name,0.310305293,1.896722114,111.6530578,142.9177213,-47.82652889,
11,Restricted LMM-Bowl: RE Season_num Name,0.34078608,1.910177663,80.38050022,119.4613296,-30.19025011,
12,Restricted LMM-Bowl: RE Star_player Name,0.304605958,1.825940946,99.44429982,138.5251292,-39.72214991,
13,Restricted LMM-Bowl: RE Active_T20I Name,0.311433783,1.785773512,90.55893794,129.6397673,-35.27946897,
14,Restricted LMM-Bowl: RE Cum_LY_Bowl_I Name,0.305835873,1.71262982,97.01015474,136.0909841,-38.50507737,
15,Restricted LMM-Bowl: RE Cum_IPL_bowl_DM_Bowl_I Name,0.298812432,1.858362423,111.5000101,150.5808395,-45.75000507,
16,GLMM-Bowl: Gaussian Family: RE Name,0.311264756,1.823775103,230.3910151,312.4607568,-94.19550756,
17,Restricted GLMM-Bowl: Gaussian Family: RE Name,0.310034403,1.893303249,146.7095261,177.9741896,-65.35476304,
18,Restricted GLMM-Bowl: Gaussian Family: RE Season_num  + Name,0.341336862,1.908145985,115.0298245,154.1106539,-47.51491227,
19,Restricted GLMM-Bowl: Gaussian Family: RE Star_player  + Name,0.304484738,1.823807849,134.9549327,174.0357621,-57.47746636,
20,Restricted GLMM-Bowl: Gaussian Family: RE Active_T20I  + Name,0.310986217,1.778154575,125.8360075,164.9168369,-52.91800375,
21,Restricted GLMM-Bowl: Gaussian Family: RE Cum_IPL_bowl_DM_Bowl_I  + Name,0.298735163,1.850784902,145.9449547,185.0257841,-62.97247734,
22,Restricted GLMM-Bowl: Gaussian Family: RE Cum_LY_Bowl_I  + Name,0.305333781,1.702428478,132.3647488,171.4455782,-56.18237442,
23,MCMC GLMM-Bowl no prior: RE Name,0.380445212,1.71986171,NA,NA,NA,-241.8205
24,MCMC GLMM-Bowl with prior: RE Name,0.505450488,2.238401945,NA,NA,NA,-220.8418
25,Restricted MCMC GLMM-Bowl: RE Name,0.548377994,2.266902478,NA,NA,NA,-229.2722
26,MCMC GLMM-Bowl Unspecified prior: RE Season_num|Name,0.455657288,2.664928324,NA,NA,NA,-124.3539
27,MCMC GLMM-Bowl Unspecified prior: RE Overseas_player|Name,0.42308325,1.830067809,NA,NA,NA,-243.663
28,MCMC GLMM-Bowl Unspecified prior: RE Star_player|Name,0.467086367,2.179609232,NA,NA,NA,-216.8641
29,MCMC GLMM-Bowl Unspecified prior: RE Active_T20I|Name,1.289994238,3.626612599,NA,NA,NA,-263.2751
30,MCMC GLMM-Bowl Unspecified prior: RE Cum_LY_Bowl_I|Name,0.510171736,2.716691736,NA,NA,NA,-129.3129
31,MCMC GLMM-Bowl Unspecified prior: RE Cum_IPL_bowl_DM_Bowl_I|Name,0.49810491,2.53022243,NA,NA,NA,-147.7545
32,MCMC GLMM-Bowl Unspecified prior: RE Cum_IPL_bowl_DM_Bowl_I,0.405434303,2.318691899,NA,NA,NA,-137.0984
33,MCMC GLMM-Bowl Unspecified prior: RE Cum_LY_Bowl_I,0.454487344,2.593983556,NA,NA,NA,-128.4152
34,MCMC GLMM-Bowl with prior Gaussian Family: RE Name,0.339829229,1.992840224,NA,NA,NA,80.78404
35,MCMC GLMM-Bowl with prior exponential Family: RE Name,0.647573685,2.406031001,NA,NA,NA,-200.7173
36,MCMC GLMM-Bowl unspecified prior gaussian Family: RE Name,0.339704055,2.001597768,NA,NA,NA,80.60422
37,MCMC GLMM-Bowl unspecified prior gaussian Family: RE Season_num Name,0.342148618,2.21549956,NA,NA,NA,-210.773
38,MCMC GLMM-Bowl unspecified prior gaussian Family: RE Star_player Name,0.339945027,1.994483616,NA,NA,NA,80.0356
39,MCMC GLMM-Bowl unspecified prior gaussian Family: RE Active_T20I Name,0.346951584,1.871195814,NA,NA,NA,49.9627
40,MCMC GLMM-Bowl unspecified prior gaussian Family: RE Cum_LY_Bowl_I Name,0.341039015,2.224749747,NA,NA,NA,123.3014
41,MCMC GLMM-Bowl unspecified prior gaussian Family: RE Cum_IPL_bowl_DM_Bowl_I Name,0.338690411,2.264938416,NA,NA,NA,-133.938
42,MCMC GLMM-Bowl unspecified prior gaussian Family: RE Cum_IPL_bowl_DM_Bowl_I,0.341757018,2.213113513,NA,NA,NA,169.8168
43,MCMC GLMM-Bowl unspecified prior gaussian Family: RE Cum_LY_Bowl_I,0.341803006,2.214936147,NA,NA,NA,170.2498
44,MCMC GLMM-Bowl unspecified prior gaussian Family: RE Cum_LY_Bowl_I + Name2,0.339529521,1.999202476,NA,NA,NA,80.04152
45,MCMC GLMM-Bowl unspecified prior gaussian Family: RE Active_T20I + Name2,322.3104072,3608.716033,NA,NA,NA,80.43006
46,MCMC GLMM-Bowl unspecified prior gaussian Family: RE Active_T20I,63.72352644,742.3827802,NA,NA,NA,169.9417
47,MCMC GLMM-Bowl unspecified prior gaussian Family: RE Active_T20I:Name2,0.347219224,1.87080983,NA,NA,NA,50.41144
