Name2,Season,Season_num,PrevSeason_num,Cum_code,Team,Key,Type,Nationality,Overseas_player,WK,Star_player,Active_T20I,Price,Cum_LY_bat_I,Cum_LY_bat_R,Cum_LY_bat_B,Cum_LY_bat_Outs,Cum_LY_bat_Avg,Cum_LY_bat_SR,Cum_LY_bat_4s,Cum_LY_bat_6s,Cum_LY_bat_30plus,Cum_LY_bat_50plus,Cum_LY_bat_100plus,Cum_LY_bowl_I,Cum_LY_bowl_B,Cum_LY_bowl_R,Cum_LY_bowl_W,Cum_LY_bowl_Econ,Cum_LY_bowl_Avg,Cum_LY_bowl_SR,Cum_LY_bowl_4W,Cum_LY_bowl_5W,Cum_LY_bowl_4s,Cum_LY_bowl_6s,Cum_LY_bowl_Dots,Cum_LY_Bat_I,Cum_LY_HardHitter,Cum_LY_Finisher%,Cum_LY_46_scored,Cum_LY_Bat_avg,Cum_LY_50plus_scored,Cum_LY_RBW,Cum_LY_Bowl_I,Cum_LY_Bowl_Econ,Cum_LY_Bowl_Avg,Cum_LY_Bowl _SR,Cum_LY_BW Taker,Cum_LY_bowl_46_conc,Cum_LY_bowl_Dots%,Cum_IPL_agg_bat_I,Cum_IPL_agg_bat_R,Cum_IPL_agg_bat_B,Cum_IPL_agg_bat_Outs,Cum_IPL_agg_bat_Avg,Cum_IPL_agg_bat_SR,Cum_IPL_agg_bat_4s,Cum_IPL_agg_bat_6s,Cum_IPL_agg_bat_30plus,Cum_IPL_agg_bat_50plus,Cum_IPL_agg_bat_100plus,Cum_IPL_agg_bowl_I,Cum_IPL_agg_bowl_B,Cum_IPL_agg_bowl_R,Cum_IPL_agg_bowl_W,Cum_IPL_agg_bowl_Econ,Cum_IPL_agg_bowl_Avg,Cum_IPL_agg_bowl_SR,Cum_IPL_agg_bowl_4W,Cum_IPL_agg_bowl_5W,Cum_IPL_agg_bowl_4s,Cum_IPL_agg_bowl_6s,Cum_IPL_agg_bowl_Dots,Cum_IPL_bat_DM_Bat_I,Cum_IPL_bat_DM_HardHitter,Cum_IPL_bat_DM_Finisher%,Cum_IPL_bat_DM_46_scored,Cum_IPL_bat_DM_Bat_avg,Cum_IPL_bat_DM_50plus_scored,Cum_IPL_bat_DM_RBW,Cum_IPL_bowl_DM_Bowl_I,Cum_IPL_bowl_DM_Bowl_Econ,Cum_IPL_bowl_DM_Bowl_Avg,Cum_IPL_bowl_DM_Bowl _SR,Cum_IPL_bowl_DM_BW Taker,Cum_IPL_bowl_DM_46_conc,Cum_IPL_bowl_DM_Dots%,Weighted_LY_bat_I,Weighted_LY_bat_R,Weighted_LY_bat_B,Weighted_LY_bat_Outs,Weighted_LY_bat_Avg,Weighted_LY_bat_SR,Weighted_LY_bat_4s,Weighted_LY_bat_6s,Weighted_LY_bat_30plus,Weighted_LY_bat_50plus,Weighted_LY_bat_100plus,Weighted_LY_bowl_I,Weighted_LY_bowl_B,Weighted_LY_bowl_R,Weighted_LY_bowl_W,Weighted_LY_bowl_Econ,Weighted_LY_bowl_Avg,Weighted_LY_bowl_SR,Weighted_LY_bowl_4W,Weighted_LY_bowl_5W,Weighted_LY_bowl_4s,Weighted_LY_bowl_6s,Weighted_LY_bowl_Dots,Weighted_LY_bat_Bat_I,Weighted_LY_bat_HardHitter,Weighted_LY_bat_Finisher%,Weighted_LY_bat_46_scored,Weighted_LY_bat_Bat_avg,Weighted_LY_bat_50plus_scored,Weighted_LY_bat_RBW,Weighted_LY_bowl_Bowl_I,Weighted_LY_bowl_Bowl_Econ,Weighted_LY_bowl_Bowl_Avg,Weighted_LY_bowl_Bowl _SR,Weighted_LY_bowl_BW Taker,Weighted_LY_bowl_46_conc,Weighted_LY_bowl_Dots%
A Flintoff,2009,2,1,cum1,Chennai Super Kings,,AR,O,1,0,1,0,1550000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,42,0,1,0,0,0,0,42,0,0,0,0,0,0
GJ Bailey,2009,2,1,cum1,Chennai Super Kings,,Bat,O,1,0,1,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,42,0,1,0,0,0,0,42,0,0,0,0,0,0
JA Morkel,2009,2,1,cum1,Chennai Super Kings,,AR,O,1,0,1,0,675000,10,241,168,7,34.42857143,143.452381,18,14,3,1,0,13,310,414,17,8.012903226,24.35294118,18.23529412,1,0,38,11,100,10,0.19047619,0.3,143.452381,34.42857143,0.1,0.625,13,8.012903226,24.35294118,18.23529412,0.076923077,0.158064516,0.322580645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,337.4,235.2,9.8,8.033333333,143.452381,25.2,19.6,4.2,1.4,0,42,333.8461538,445.8461538,18.30769231,8.012903226,24.35294118,18.23529412,1.076923077,0,40.92307692,11.84615385,107.6923077,42,0.19047619,0.766666667,143.452381,8.033333333,0.033333333,0.625,42,8.012903226,24.35294118,18.23529412,0.025641026,0.158064516,0.322580645
JDP Oram,2009,2,1,cum1,Chennai Super Kings,,AR,O,1,0,1,0,675000,2,18,13,1,18,138.4615385,1,1,0,0,0,4,100,149,3,8.94,49.66666667,33.33333333,0,0,17,5,32,2,0.153846154,0.5,138.4615385,18,0,0.727272727,4,8.94,49.66666667,33.33333333,0,0.22,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,126,91,7,3,138.4615385,7,7,0,0,0,42,350,521.5,10.5,8.94,49.66666667,33.33333333,0,0,59.5,17.5,112,42,0.153846154,0.833333333,138.4615385,3,0,0.727272727,42,8.94,49.66666667,33.33333333,0,0.22,0.32
Joginder Sharma,2009,2,1,cum1,Chennai Super Kings,,Bowl,I,0,0,0,0,225000,2,16,11,2,8,145.4545455,1,1,0,0,0,7,158,241,8,9.151898734,30.125,19.75,0,0,19,11,43,2,0.181818182,0,145.4545455,8,0,0.666666667,7,9.151898734,30.125,19.75,0,0.189873418,0.272151899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,112,77,14,2.666666667,145.4545455,7,7,0,0,0,42,316,482,16,9.151898734,30.125,19.75,0,0,38,22,86,42,0.181818182,0.666666667,145.4545455,2.666666667,0,0.666666667,42,9.151898734,30.125,19.75,0,0.189873418,0.272151899
M Muralitharan,2009,2,1,cum1,Chennai Super Kings,,Bowl,O,1,0,1,0,600000,1,0,3,1,0,0,0,0,0,0,0,15,369,416,11,6.764227642,37.81818182,33.54545455,0,0,22,14,127,1,0,0,0,0,0,0,15,6.764227642,37.81818182,33.54545455,0,0.097560976,0.344173442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,42,14,0,0,0,0,0,0,0,42,344.4,388.2666667,10.26666667,6.764227642,37.81818182,33.54545455,0,0,20.53333333,13.06666667,118.5333333,42,0,0.666666667,0,0,0,0,42,6.764227642,37.81818182,33.54545455,0,0.097560976,0.344173442
ML Hayden,2009,2,1,cum1,Chennai Super Kings,,Bat,O,1,0,1,0,375000,4,189,135,3,63,140,24,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.222222222,0.25,140,63,0.5,0.542857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,661.5,472.5,10.5,15.75,140,84,21,7,7,0,42,0,0,0,0,0,0,0,0,0,0,0,42,0.222222222,0.75,140,15.75,0.166666667,0.542857143,42,0,0,0,0,0,0
MS Dhoni,2009,2,1,cum1,Chennai Super Kings,,WK,I,0,1,1,0,1500000,14,414,319,10,41.4,129.7805643,38,15,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.166144201,0.285714286,129.7805643,41.4,0.142857143,0.646616541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,414,319,10,9.857142857,129.7805643,38,15,8,2,0,42,0,0,0,0,0,0,0,0,0,0,0,42,0.166144201,0.761904762,129.7805643,9.857142857,0.047619048,0.646616541,42,0,0,0,0,0,0
PA Patel,2009,2,1,cum1,Chennai Super Kings,,WK,I,0,1,0,0,325000,13,302,315,11,27.45454545,95.87301587,42,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.142857143,0.153846154,95.87301587,27.45454545,0.153846154,0.42962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,325.2307692,339.2307692,11.84615385,7.743589744,95.87301587,45.23076923,3.230769231,3.230769231,2.153846154,0,42,0,0,0,0,0,0,0,0,0,0,0,42,0.142857143,0.717948718,95.87301587,7.743589744,0.051282051,0.42962963,42,0,0,0,0,0,0
SK Raina,2009,2,1,cum1,Chennai Super Kings,,AR,I,0,0,1,0,650000,14,421,304,11,38.27272727,138.4868421,35,18,7,3,0,2,20,30,1,9,30,20,0,0,1,2,4,14,0.174342105,0.214285714,138.4868421,38.27272727,0.214285714,0.689243028,2,9,30,20,0,0.15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,421,304,11,10.02380952,138.4868421,35,18,7,3,0,42,140,210,7,9,30,20,0,0,7,14,28,42,0.174342105,0.738095238,138.4868421,10.02380952,0.071428571,0.689243028,42,9,30,20,0,0.15,0.2
